date,temperature (Kelvin)
20070724000000,288.15
20070724010000,287.95
20070724020000,287.85
20070724030000,287.85
20070724040000,287.65
20070724050000,287.65
20070724060000,287.95
20070724070000,288.95
20070724080000,289.05
20070724090000,289.85
20070724100000,290.95
20070724110000,291.15
20070724120000,291.85
20070724130000,292.05
20070724140000,291.45
20070724150000,291.55
20070724160000,291.15
20070724170000,290.85
20070724180000,289.95
20070724190000,289.05
20070724200000,287.95
20070724210000,287.85
20070724220000,287.75
20070724230000,287.95
20070725000000,288.05
20070725010000,288.15
20070725020000,288.15
20070725030000,288.25
20070725040000,288.35
20070725050000,288.45
20070725060000,288.65
20070725070000,288.75
20070725080000,289.05
20070725090000,289.95
20070725100000,290.15
20070725110000,289.65
20070725120000,289.45
20070725130000,289.35
20070725140000,288.85
20070725150000,288.75
20070725160000,288.95
20070725170000,288.75
20070725180000,288.75
20070725190000,288.85
20070725200000,288.95
20070725210000,288.65
20070725220000,288.35
20070725230000,288.25
20070726000000,288.15
20070726010000,288.15
20070726020000,288.15
20070726030000,288.25
20070726040000,288.35
20070726050000,288.45
20070726060000,288.65
20070726070000,288.85
20070726080000,289.15
20070726090000,289.65
20070726100000,289.75
20070726110000,289.85
20070726120000,290.35
20070726130000,290.25
20070726140000,290.55
20070726150000,290.25
20070726160000,289.75
20070726170000,290.05
20070726180000,289.55
20070726190000,289.15
20070726200000,288.55
20070726210000,288.55
20070726220000,288.55
20070726230000,288.45
20070727000000,288.55
20070727010000,288.55
20070727020000,288.35
20070727030000,288.25
20070727040000,288.05
20070727050000,287.85
20070727060000,288.35
20070727070000,288.55
20070727080000,288.95
20070727090000,289.15
20070727100000,289.35
20070727110000,289.45
20070727120000,289.45
20070727130000,289.55
20070727140000,289.85
20070727150000,289.95
20070727160000,289.55
20070727170000,289.65
20070727180000,289.45
20070727190000,289.25
20070727200000,289.15
20070727210000,289.05
20070727220000,289.05
20070727230000,288.85
20070728000000,288.75
20070728010000,288.85
20070728020000,288.65
20070728030000,288.15
20070728040000,288.15
20070728050000,287.85
20070728060000,288.05
20070728070000,288.15
20070728080000,288.75
20070728090000,289.65
20070728100000,290.65
20070728110000,290.65
20070728120000,291.15
20070728130000,291.35
20070728140000,291.55
20070728150000,290.95
20070728160000,290.15
20070728170000,289.65
20070728180000,289.55
20070728190000,289.55
20070728200000,289.35
20070728210000,289.25
20070728220000,289.15
20070728230000,289.05
20070729000000,288.95
20070729010000,289.05
20070729020000,289.05
20070729030000,289.05
20070729040000,288.95
20070729050000,288.95
20070729060000,288.85
20070729070000,288.85
20070729080000,288.85
20070729090000,288.95
20070729100000,288.95
20070729110000,289.05
20070729120000,289.25
20070729130000,289.25
20070729140000,289.45
20070729150000,289.65
20070729160000,289.65
20070729170000,289.45
20070729180000,288.65
20070729190000,288.55
20070729200000,288.05
20070729210000,287.85
20070729220000,287.55
20070729230000,287.35
20070730000000,287.55
20070730010000,287.55
20070730020000,287.35
20070730030000,287.35
20070730040000,287.15
20070730050000,286.65
20070730060000,286.85
20070730070000,287.45
20070730080000,287.95
20070730090000,288.45
20070730100000,289.55
20070730110000,290.35
20070730120000,290.85
20070730130000,291.45
20070730140000,291.15
20070730150000,291.25
20070730160000,291.25
20070730170000,290.75
20070730180000,290.25
20070730190000,289.75
20070730200000,289.05
20070730210000,288.15
20070730220000,287.55
20070730230000,287.35
20070731000000,287.25
20070731010000,286.65
20070731020000,286.45
20070731030000,285.55
20070731040000,285.35
20070731050000,285.25
20070731060000,285.75
20070731070000,286.95
20070731080000,288.75
20070731090000,290.25
20070731100000,291.75
20070731110000,291.85
20070731120000,292.65
20070731130000,293.05
20070731140000,293.75
20070731150000,294.15
20070731160000,293.55
20070731170000,292.45
20070731180000,291.45
20070731190000,290.55
20070731200000,289.85
20070731210000,289.55
20070731220000,289.95
20070731230000,289.15
20070801000000,288.35
20070801010000,288.15
20070801020000,288.65
20070801030000,288.65
20070801040000,288.95
20070801050000,289.05
20070801060000,288.85
20070801070000,289.15
20070801080000,290.85
20070801090000,290.55
20070801100000,289.65
20070801110000,290.65
20070801120000,291.55
20070801130000,291.25
20070801140000,292.25
20070801150000,291.05
20070801160000,290.05
20070801170000,289.45
20070801180000,289.15
20070801190000,288.75
20070801200000,288.35
20070801210000,288.15
20070801220000,287.95
20070801230000,287.65
20070802000000,287.65
20070802010000,287.65
20070802020000,287.55
20070802030000,287.45
20070802040000,287.65
20070802050000,287.75
20070802060000,287.95
20070802070000,288.25
20070802080000,288.85
20070802090000,289.25
20070802100000,289.75
20070802110000,289.55
20070802120000,290.55
20070802130000,292.35
20070802140000,291.75
20070802150000,291.25
20070802160000,290.55
20070802170000,290.45
20070802180000,289.75
20070802190000,288.85
20070802200000,288.05
20070802210000,287.85
20070802220000,287.85
20070802230000,287.65
20070803000000,287.65
20070803010000,287.55
20070803020000,287.45
20070803030000,287.25
20070803040000,287.15
20070803050000,287.15
20070803060000,287.15
20070803070000,288.15
20070803080000,288.65
20070803090000,289.25
20070803100000,290.15
20070803110000,290.95
20070803120000,291.55
20070803130000,291.65
20070803140000,291.65
20070803150000,292.15
20070803160000,291.75
20070803170000,291.25
20070803180000,290.65
20070803190000,289.85
20070803200000,289.15
20070803210000,288.45
20070803220000,288.15
20070803230000,288.25
20070804000000,287.95
20070804010000,288.25
20070804020000,287.75
20070804030000,288.05
20070804040000,288.15
20070804050000,287.35
20070804060000,287.85
20070804070000,288.55
20070804090000,290.55
20070804100000,292.75
20070804110000,293.45
20070804120000,293.75
20070804130000,293.75
20070804140000,293.95
20070804150000,293.55
20070804160000,293.75
20070804170000,293.25
20070804180000,293.05
20070804200000,292.05
20070804210000,292.65
20070804220000,292.75
20070804230000,292.95
20070805000000,291.35
20070805010000,291.15
20070805020000,291.75
20070805030000,291.75
20070805040000,291.95
20070805050000,291.75
20070805060000,290.75
20070805070000,291.45
20070805080000,291.85
20070805090000,292.15
20070805100000,293.75
20070805110000,293.45
20070805120000,293.95
20070805130000,293.45
20070805140000,293.35
20070805150000,293.35
20070805160000,292.95
20070805170000,291.35
20070805180000,290.45
20070805190000,290.25
20070805200000,289.15
20070805210000,287.95
20070805220000,288.35
20070805230000,288.45
20070806000000,288.35
20070806010000,288.15
20070806020000,288.05
20070806030000,287.95
20070806040000,287.95
20070806050000,287.95
20070806060000,288.15
20070806070000,288.45
20070806080000,289.15
20070806090000,289.65
20070806100000,291.25
20070806110000,291.65
20070806120000,291.25
20070806130000,291.85
20070806140000,291.35
20070806150000,291.65
20070806160000,291.45
20070806170000,290.75
20070806180000,290.35
20070806190000,289.25
20070806200000,288.45
20070806210000,288.35
20070806220000,288.15
20070806230000,287.65
20070807000000,287.65
20070807010000,287.55
20070807020000,287.45
20070807030000,287.25
20070807040000,287.45
20070807050000,287.25
20070807060000,287.55
20070807070000,288.45
20070807080000,288.85
20070807090000,289.45
20070807100000,290.85
20070807110000,291.65
20070807120000,290.35
20070807130000,290.35
20070807140000,290.05
20070807150000,290.15
20070807160000,289.85
20070807170000,289.35
20070807180000,288.75
20070807190000,288.35
20070807200000,288.05
20070807210000,287.95
20070807220000,287.85
20070807230000,287.65
20070808000000,287.55
20070808010000,287.55
20070808020000,287.55
20070808030000,287.85
20070808040000,287.65
20070808050000,287.75
20070808060000,287.55
20070808070000,288.35
20070808080000,288.65
20070808090000,289.15
20070808100000,290.05
20070808110000,290.35
20070808120000,290.75
20070808130000,291.25
20070808140000,291.65
20070808150000,291.55
20070808160000,290.95
20070808170000,290.65
20070808180000,289.75
20070808190000,289.25
20070808200000,288.85
20070808210000,287.95
